,Hotel Name,Address,Rating (5),Price (2)
93,The Summer House Eatery,EA Central Chennai,4.3,1400
94,Indulge By Joker's Kitchen,"KI Center,Nungambakkam, Central Chennai",4.1,800
95,Cake Waves,WA North Chennai,4.3,500
96,Toss,"TI Center,Nungambakkam, Central Chennai",4.0,800
97,Aloe,AN Central Chennai,4.3,1000
98,Black Orchid,"OR Puram, Central Chennai",4.5,1900
99,Chai Waale,WA Central Chennai,4.0,200
100,Tangerine,TA Central Chennai,4.4,1500
101,Rangis,RN Central Chennai,4.0,600
102,Ente Keralam,KA Central Chennai,4.4,1000
103,Sandy's Chocolate Laboratory,LN Central Chennai,4.4,1200
104,Chap Chay,"CT Raintree,Alwarpet, Central Chennai",4.4,2000
105,Brownie Heaven,HN Central Chennai,4.3,800
106,Cake Waves,WT South Chennai,4.0,500
107,Amelie's,AA Central Chennai,4.3,900
108,Le Wrap Factorie,FA Central Chennai,5.0,300
109,Pizza Hut - 1,"17 Gee Emerald Complex,Nungambakkam, Central Chennai",4.3,800
110,B'veg - Our Secret Ingredient Is You,YG Central Chennai,4.3,800
111,Sangamitra,SS South Chennai,4.1,800
112,Toscano,TN Central Chennai,4.5,1500
113,Copper Chimney,CG Central Chennai,4.4,1500
114,Mamagoto,"MO Building,Nungambakkam, Central Chennai",4.5,1500
115,Goddy's,"GC Lawn,Nungambakkam, Central Chennai",4.1,1500
116,Jugalbhandhi,JN Central Chennai,4.0,1500
117,China Town,TG Central Chennai,4.5,1500
118,Slounge,"SL Tree Hotel,Guindy, South Chennai",4.5,1200
119,Little Italy,IN Central Chennai,4.5,1500
120,Eating Circles,CA Central Chennai,4.2,400
121,The Velveteen Rabbit,"RR Puram, Central Chennai",4.2,4200
122,Tuscana Pizzeria,PN Central Chennai,4.1,1200
123,Tibbs Frankie,FR Central Chennai,5.0,200
124,Barbeque Nation,"NB Mall,Nungambakkam, Central Chennai",4.2,1800
125,Sera- The Tapas Bar & Restaurant,"RO Inn,Gopalapuram, Central Chennai",4.3,1500
126,Goldman's Steakhouse,SN Central Chennai,4.4,1400
127,BFF - Club X,XO Central Chennai,4.1,2000
