,Hotel Name,Address,Rating (5),Price (2)
91,Namma Veedu Vasanta Bhavan,BV West Chennai,3.3,700
92,Cafe Cake,CB Central Chennai,4.5,1000
93,Superstar Pizza,PA Central Chennai,4.5,800
94,Hotel Saravana Bhavan,BS West Chennai,4.0,600
95,Cappuccino,"CC Plaza Chennai Adyar Park,Alwarpet, Central Chennai",4.3,1800
96,Off The Record,RN Central Chennai,4.2,2500
97,Benjarong,BA Central Chennai,4.6,1200
98,Topi Vappa Biriyani,"BT Nagar, Central Chennai",1.0,700
99,Teasers,TN Central Chennai,3.7,300
100,6,"6O Park,Thousand Lights, Central Chennai",4.2,2800
101,Spice Klub,KN Central Chennai,4.4,1800
102,Aqua,"AT Park,Thousand Lights, Central Chennai",4.1,3800
103,The Residency,"RC Plaza Chennai Adyar Park,Alwarpet, Central Chennai",4.2,3000
104,Teppan,TA Central Chennai,4.4,2000
105,The Cascade,"CP Tower,Nungambakkam, Central Chennai",4.7,800
106,Jalpaan,JS West Chennai,4.1,1200
107,Soy Soi,SK Central Chennai,4.4,1500
108,The Bark,BA Central Chennai,4.3,1000
109,Frozen Bottle,BA Central Chennai,4.4,400
110,Cake Waves,WK West Chennai,4.5,500
111,Crisp Cafe,CN Central Chennai,4.1,1000
112,Savya Rasa,RK Central Chennai,4.3,1600
113,Dhaba Estd 1,"19 DelhiIspahani Center,Nungambakkam, Central Chennai",4.2,2000
114,Dindigul Thalappakatti,TN Central Chennai,4.1,700
115,Gears & Garage Restobar,RN Central Chennai,4.1,1200
116,Lyfe by Soul Garden Bistro,BA Central Chennai,4.4,800
117,The Summer House Eatery,EA Central Chennai,4.3,1400
118,Indulge By Joker's Kitchen,"KI Center,Nungambakkam, Central Chennai",4.1,800
119,Cake Waves,WA North Chennai,4.3,500
120,Toss,"TI Center,Nungambakkam, Central Chennai",4.0,800
121,Chicago Pizza,PN Central Chennai,3.5,500
122,Aloe,AN Central Chennai,4.3,1000
123,Black Orchid,"OR Puram, Central Chennai",4.5,1900
124,Chai Waale,WA Central Chennai,4.0,200
125,Tangerine,TA Central Chennai,4.4,1500
126,Rangis,RN Central Chennai,4.0,600
127,Ente Keralam,KA Central Chennai,4.4,1000
128,Smoke Hub Barbeque,BP South West Chennai,3.7,1800
129,Sandy's Chocolate Laboratory,LN Central Chennai,4.4,1200
130,Chap Chay,"CT Raintree,Alwarpet, Central Chennai",4.4,2000
131,Brownie Heaven,HN Central Chennai,4.3,800
132,Cake Waves,WT South Chennai,4.0,500
133,Amelie's,AA Central Chennai,4.3,900
134,Le Wrap Factorie,FA Central Chennai,5.0,300
135,Pizza Hut - 1,"17 Gee Emerald Complex,Nungambakkam, Central Chennai",4.3,800
136,B'veg - Our Secret Ingredient Is You,YG Central Chennai,4.3,800
137,Sangamitra,SS South Chennai,4.1,800
138,Bhimaas,"BH Bhimaas,Vadapalani, West Chennai",1.8,600
139,Hotel Saravana Bhavan,BK West Chennai,1.0,600
140,Toscano,TN Central Chennai,4.5,1500
141,Copper Chimney,CG Central Chennai,4.4,1500
142,Mamagoto,"MO Building,Nungambakkam, Central Chennai",4.5,1500
143,Goddy's,"GC Lawn,Nungambakkam, Central Chennai",4.1,1500
144,Jugalbhandhi,JN Central Chennai,4.0,1500
145,China Town,TG Central Chennai,4.5,1500
146,Chennai Kulfi,KA North Chennai,3.6,200
147,Slounge,"SL Tree Hotel,Guindy, South Chennai",4.5,1200
148,Little Italy,IN Central Chennai,4.5,1500
149,Freak Shake Bro,"BK Nagar, West Chennai",2.3,300
150,Eating Circles,CA Central Chennai,4.2,400
151,The Velveteen Rabbit,"RR Puram, Central Chennai",4.2,4200
152,Mexicano Griller,GN Central Chennai,2.6,800
153,Tuscana Pizzeria,PN Central Chennai,4.1,1200
154,Tibbs Frankie,FR Central Chennai,5.0,200
155,Barbeque Nation,"NB Mall,Nungambakkam, Central Chennai",4.2,1800
156,Sera- The Tapas Bar & Restaurant,"RO Inn,Gopalapuram, Central Chennai",4.3,1500
157,Dhabba Express,"EE Building,Nungambakkam, Central Chennai",3.5,800
158,Goldman's Steakhouse,SN Central Chennai,4.4,1400
159,BFF - Club X,XO Central Chennai,4.1,2000
160,Mathsya,MA South Chennai,4.2,800
161,New Desi Tadka,"TK Nagar, West Chennai",4.0,800
162,Vintage Bank,"BH Chennai,Guindy, South Chennai",4.3,3200
